	Domain	Phylum	Class	Order	Family	Genus	Species	RandomForestExp	RandomForestPrefer	pH	SOC	TN	MAT	MaxTWarmM	MAP	PWetM	NDVI	ClusterNames
OTU_10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium sp.	61.88062668	pH	-0.303498986		-0.182397444	-0.209906375					Low pH
OTU_100	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	metagenome	59.29649098	pH	0.215954973	-0.182293943	0.220166094	-0.196816762					High pH and TN with low SOC
OTU_1000	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	metagenome	28.22477961	pH									
OTU_1001	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified	Unclassified	35.68211528	pH		-0.240080374	0.148238069	-0.240035951	0.15476464				Low SOC
OTU_1004	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unclassified	Unclassified	Unclassified	48.18727437	NDVI	-0.211880779				-0.15591682		-0.16356582		Low pH
OTU_1005	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Unclassified	metagenome	37.234269	SMDR		0.157242339							High SOC
OTU_1009	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus rifietoensis	4.673718313	STAR			0.184820288						
OTU_1014	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Unclassified	64.38037009	pH		0.187352608				-0.163673171	0.263161018		High PWetM
OTU_1015	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Nordella	Unclassified	51.30481351	pH		-0.149159646		-0.296298243					
OTU_1018	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unclassified	23.10300618	pH									
OTU_1021	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Unclassified	Unclassified	52.84145111	pH	-0.224502119	0.224880093	-0.218270233	-0.191940608					Low pH
OTU_1022	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Unclassified	metagenome	63.21340217	pH	-0.28521523	0.148494939							Low pH high SOC
